SaleID,SaleDate,Region,ProductCategory,Revenue,Cost,SalesPersonID,CustomerType,Profit
10000,2024-07-14,Europe,Software,3676.99,1294.38,1,Enterprise,2382.6099999999997
10001,2024-08-26,LATAM,Software,1004.11,945.62,20,Enterprise,58.49000000000001
10002,2024-08-05,Asia,Software,1798.53,1930.77,3,SMB,-132.24
10003,2024-07-05,Europe,Hardware,3350.08,477.01,13,Individual,2873.0699999999997
10004,2024-01-30,North America,Software,2462.24,1196.32,7,Enterprise,1265.9199999999998
10005,2024-11-15,North America,Service,3719.0,1415.41,6,SMB,2303.59
10006,2024-06-20,North America,Software,4809.92,1659.85,6,SMB,3150.07
10007,2024-03-24,LATAM,Hardware,671.08,843.59,2,Enterprise,-172.51
10008,2024-03-09,Europe,Hardware,3576.88,1389.5,16,SMB,2187.38
10009,2024-10-11,Asia,Hardware,1228.69,641.24,6,Individual,587.45
10010,2024-10-05,North America,Service,2130.94,899.18,8,SMB,1231.7600000000002
10011,2024-08-19,LATAM,Hardware,261.03,1796.47,11,Enterprise,-1535.44
10012,2024-05-18,Asia,Service,765.95,1902.32,18,Individual,-1136.37
10013,2024-02-18,North America,Software,1666.91,1451.69,6,Individual,215.22000000000003
10014,2024-11-13,North America,Hardware,1775.73,779.99,14,SMB,995.74
10015,2024-03-05,North America,Software,4507.97,1649.11,15,Enterprise,2858.8600000000006
10016,2024-04-08,North America,Software,3734.88,100.44,11,SMB,3634.44
10017,2024-12-14,Europe,Software,4863.7,250.35,15,Individual,4613.349999999999
10018,2024-09-03,Europe,Software,3035.45,1339.68,13,Enterprise,1695.7699999999998
10019,2024-05-05,North America,Software,1284.4,617.93,6,SMB,666.4700000000001
10020,2024-01-24,Europe,Software,1705.51,1905.2,4,Individual,-199.69000000000005
10021,2024-03-09,North America,Software,1667.2,900.32,14,SMB,766.88
10022,2024-01-16,North America,Service,1699.82,887.26,13,SMB,812.56
10023,2024-08-13,Europe,Software,3397.52,1372.26,10,Enterprise,2025.26
10024,2024-02-10,Europe,Hardware,2700.96,1546.76,12,SMB,1154.2
10025,2024-06-28,Asia,Software,1988.58,977.34,8,Individual,1011.2399999999999
10026,2024-09-14,North America,Service,830.54,467.3,20,SMB,363.23999999999995
10027,2024-02-23,Europe,Service,208.48,1557.95,5,Enterprise,-1349.47
10028,2024-11-30,Europe,Hardware,1172.29,674.68,2,Individual,497.61
10029,2024-06-12,North America,Hardware,626.61,391.47,20,SMB,235.14
10030,2024-11-07,Europe,Software,3948.68,1281.7,12,SMB,2666.9799999999996
10031,2024-03-01,North America,Service,651.24,226.38,6,SMB,424.86
10032,2024-07-30,North America,Service,3648.72,1944.14,15,Individual,1704.5799999999997
10033,2024-08-28,LATAM,Service,1989.73,1283.17,18,Individual,706.56
10034,2024-06-30,LATAM,Hardware,459.55,1972.5,18,SMB,-1512.95
10035,2024-11-11,Asia,Software,4082.38,710.84,10,SMB,3371.54
10036,2024-07-02,North America,Service,2940.19,1943.85,7,Individual,996.3400000000001
10037,2024-02-14,North America,Software,1255.23,333.85,10,Enterprise,921.38
10038,2024-02-01,Asia,Hardware,4483.94,129.35,5,Enterprise,4354.589999999999
10039,2024-03-28,Europe,Software,321.77,114.32,16,Enterprise,207.45
10040,2024-07-20,North America,Service,1088.92,956.5,19,Individual,132.42000000000007
10041,2024-02-24,Europe,Software,3785.03,211.86,3,Individual,3573.17
10042,2024-11-16,North America,Software,3575.95,1048.73,7,Individual,2527.22
10043,2024-06-17,LATAM,Hardware,1517.43,688.63,19,Individual,828.8000000000001
10044,2024-03-23,North America,Hardware,403.92,704.48,12,Individual,-300.56
10045,2024-12-27,Asia,Hardware,4304.58,1289.44,10,SMB,3015.14
10046,2024-06-12,North America,Software,1637.12,368.04,5,SMB,1269.08
10047,2024-10-27,Europe,Software,1059.0,1544.78,2,Individual,-485.78
10048,2024-05-31,Europe,Hardware,2628.7,1184.96,3,SMB,1443.7399999999998
10049,2024-12-17,North America,Service,4560.11,1834.14,14,Individual,2725.9699999999993
10050,2024-05-12,LATAM,Service,313.38,761.44,15,Individual,-448.06000000000006
10051,2024-04-22,Asia,Software,3852.44,1966.29,20,Enterprise,1886.15
10052,2024-07-14,LATAM,Service,2905.12,1172.86,13,SMB,1732.26
10053,2024-03-12,LATAM,Software,2184.7,1948.13,17,SMB,236.5699999999997
10054,2024-05-12,Europe,Hardware,3745.99,102.77,20,SMB,3643.22
10055,2024-03-06,LATAM,Software,4832.54,1469.55,4,Individual,3362.99
10056,2024-02-24,North America,Software,1223.11,1642.41,19,SMB,-419.3000000000002
10057,2024-04-05,North America,Hardware,803.87,153.69,15,Individual,650.1800000000001
10058,2024-02-22,North America,Hardware,4573.12,1178.99,15,SMB,3394.13
10059,2024-03-27,North America,Software,3377.87,1613.79,9,Individual,1764.08
10060,2024-06-07,Europe,Software,2246.13,1144.03,3,SMB,1102.1000000000001
10061,2024-12-20,North America,Software,2908.97,174.44,2,Enterprise,2734.5299999999997
10062,2024-05-08,Asia,Hardware,3753.51,1402.22,7,SMB,2351.29
10063,2024-01-24,Europe,Software,3887.86,168.16,9,SMB,3719.7000000000003
10064,2024-09-29,North America,Software,4607.48,1644.06,5,Enterprise,2963.4199999999996
10065,2024-11-04,Europe,Hardware,2191.53,133.92,17,Individual,2057.61
10066,2024-03-30,North America,Hardware,1537.71,317.92,3,SMB,1219.79
10067,2024-01-05,Asia,Hardware,3234.35,586.46,9,SMB,2647.89
10068,2024-06-03,North America,Hardware,2137.07,1285.06,8,Individual,852.0100000000002
10069,2024-10-03,LATAM,Service,3013.53,1953.9,9,Individual,1059.63
